,question,rank,counts,question_edit
38,What are the reasons for genetic divergence in the sea within and/or among species,1,12,genetic divergence 
39,What are the reasons for genetic divergence in the sea within and/or among species,2,2,genetic divergence 
40,What are the reasons for genetic divergence in the sea within and/or among species,3,8,genetic divergence 
41,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times,1,5,fluctuating selection
42,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times,2,8,fluctuating selection
43,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times,3,9,fluctuating selection
44,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change,1,29,evolution vs acclimation
45,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change,2,5,evolution vs acclimation
46,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change,3,6,evolution vs acclimation
47,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats,1,9,hybridization/introgression
48,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats,2,14,hybridization/introgression
49,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats,3,4,hybridization/introgression
50,What oceanographic and biological processes contribute to genetic load and how does the geographic distribution of load affect adaptation,2,2,genetic load
51,What oceanographic and biological processes contribute to genetic load and how does the geographic distribution of load affect adaptation,3,1,genetic load
52,What will nearshore climates be like in the future,2,2,nearshore climates
53,When high genetic drift (e.g. sweepstakes reproductive success) strong selection and high gene flow all occur at the same life stage (e.g. larval dispersal) what are the relative importance of each process to evolutionary outcomes,1,10,genetic drift and gene flow
54,When high genetic drift (e.g. sweepstakes reproductive success) strong selection and high gene flow all occur at the same life stage (e.g. larval dispersal) what are the relative importance of each process to evolutionary outcomes,2,9,genetic drift and gene flow
55,When high genetic drift (e.g. sweepstakes reproductive success) strong selection and high gene flow all occur at the same life stage (e.g. larval dispersal) what are the relative importance of each process to evolutionary outcomes,3,3,genetic drift and gene flow
