STUDY_ID,First_Author,Data_file_name,G_match_E,natural_env_type,GxE_sig,phylum_division,genus,species,gen_number,gen_number_knownenvs,phenotype,phenotype_unit,life_stage,exp_env_type,experimental_comparison,Experimental_environment,experimental_env_unit,natural_env,natural_env_unit,Study_ID_phenotype,Raw_data_available,Proportion,Mention CGV,Data_source,figure_Number,table_Number,Comments,Checked?
99,Wu,99_Wu_relative growth rate,G_match_E_DataShown,continuous,TRUE,Oomycota,Phytophthora,infestans,7,7,relative growth rate,relative,DIPLOID,continuous,UV rad exposure time,UV radiation ,sec,Altitude,m,99_relative growth rate,raw data,no,no,Table,,Single table in StudyID_099_UV adaptation (Relative growth rate) exposed to seven radiation times (excel file),"99_in this study, rel growth rate is the measured phenotype (raw data available) so that is what I chose as 'phenotype'. However, RGR was used as a proxy for UV tolerance (which is the phenotype of interest, considering the context of the study). In cases like this, which one should be listed under phenotype: growth rate or UV tolerance? Also raw data is from a supplemental table but table number is not given (it's just one table)",
221,Winnicka,221_Winnicka_F0,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,F0,unitless,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_F0,mean_SE,no,no,Table,,S3 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),"221_F0,Fm,Fv_Fm are fluorescence values - unitless",
221,Winnicka,221_Winnicka_Fm,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,Fm,unitless,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_Fm,mean_SE,no,no,Table,,S3 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),221_check if SE or SD,
221,Winnicka,221_Winnicka_Fv_Fm,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,Fv_Fm,unitless,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_Fv_Fm,mean_SE,no,no,Table,,S3 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_LCH_green_cell_lenght,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,LCH_green_cell_lenght,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_LCH_green_cell_lenght,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WCH_green_cell_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WCH_green_cell_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WCH_green_cell_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WCHO_green_outer_cell_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WCHO_green_outer_cell_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WCHO_green_outer_cell_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WCHI_green_inner_cell_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WCHI_green_inner_cell_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WCHI_green_inner_cell_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WCHH_adjacent_hyaline_cell_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WCHH_adjacent_hyaline_cell_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WCHH_adjacent_hyaline_cell_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_LC_hyaline_cell_lenght,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,LC_hyaline_cell_lenght,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_LH_hyaline_cell_lenght,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WH_hyaline_cell_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WH_hyaline_cell_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WH_hyaline_cell_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WHO_hyaline_outer_cellwall_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WHO_hyaline_outer_cellwall_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WHO_hyaline_outer_cellwall_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_WHI_hyaline_cellwall_width,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,WHI_hyaline_cellwall_width,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_WHI_hyaline_cellwall_width,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_ACH_green_cell_area,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,ACH_green_cell_area,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_ACH_green_cell_area,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
221,Winnicka,221_Winnicka_AH_hyaline_cell_area,G_match_E_DataShown,categorical,NA,Bryophyta,Sphagnum,denticulatum,2,0,AH_hyaline_cell_area,microm,ADULT,categorical,wet vs dry,Water availability,NA,Water availability,NA,221_AH_hyaline_cell_area,mean_SE,no,no,Table,,S6 in StudyID_221_1-s2.0-S0981942818304261-mmc1 (pdf file),,
265,Sow,265_Sow_height_growth_increment,G_match_E_DataShown,continuous,NA,Tracheophyta,Populus,nigra,3,3,height_growth_increment,cm,ADULT,categorical,irrigated vs drought,Water availability,NA,Altitude,m,265_height_growth_increment,raw data,no,no,Table,,Table in StudyID_265_11295_2018_1293_MOESM1_ESM (excel file),,
265,Sow,265_Sow_biomass,G_match_E_DataShown,continuous,NA,Tracheophyta,Populus,nigra,3,3,biomass,g,ADULT,categorical,irrigated vs drought,Water availability,NA,Altitude,m,265_biomass,raw data,no,no,Table,,Table in StudyID_265_11295_2018_1293_MOESM1_ESM (excel file),,
401,Gleason,401_Gleason_final_shell_length,G_match_E_DataShown,categorical,TRUE,Mollusca,Mytilus ,californianus,4,4,final_shell_length,mm,ADULT,categorical,cooler vs warmer,Temperature,C,Shoreheight_and_temperature,NA,401_final_shell_length,raw data,no,no,Table,,Tab 1mo in StudyID_401_rspb20172617supp4 (excel file),"401_supplemental materials in this study are mislabelled. I tried to piece it together. Raw data extracted is from supplemental file labelled rspb20172617supp4 (""supp4"") and seems to correspond to figure 3 in the main text",
401,Gleason,401_Gleason_growth_coefficient,G_match_E_DataShown,categorical,TRUE,Mollusca,Mytilus ,californianus,4,4,growth_coefficient,d,ADULT,categorical,cooler vs warmer,Temperature,C,Shoreheight_and_temperature,NA,401_growth_coefficient,raw data,no,no,Table,,Tab 1mo in StudyID_401_rspb20172617supp4 (excel file),,
584,Sparks,584_Sparks_alevin_mass,G_match_E_DataShown,continuous,TRUE,Chordata,Oncorhynchus ,nerka,2,2,alevin_mass,g,LARVAL,continuous,temperature regime range,Temperature regime,C,Temperature regime,C,584_alevin_mass,boxplot,no,no,Figure,5b extracted with graphgrabber into StudyID_584_Fig5b graphgrabber,,584_temperature regime for both native and experimental sites comprises absolute temperature measurements (oC) AND whether T was constant or variable during spawning season. Could be continuous because abs. temp. data are available or categorical if temp and variability are to be considered together. I chose to call it continuous here but see notes on sheets 3 and 4. Let me know if I should change it to categorical in this sheet.,
584,Sparks,584_Sparks_alevin_lenght,G_match_E_DataShown,continuous,TRUE,Chordata,Oncorhynchus ,nerka,2,2,alevin_lenght,mm,LARVAL,continuous,temperature regime range,Temperature regime,C,Temperature regime,C,584_alevin_lenght,boxplot,no,no,Figure,5a extracted with graphgrabber into StudyID_584_Fig5a graphgrabber,,,
584,Sparks,584_Sparks_developmental_rate,G_match_E_DataShown,continuous,TRUE,Chordata,Oncorhynchus ,nerka,2,2,developmental_rate,d,SEEDorEGG,continuous,temperature regime range,Temperature regime,C,Temperature regime,C,584_developmental_rate,boxplot,no,no,Figure,2 extracted with graphgrabber into StudyID_584_Fig2 graphgrabber,,,
584,Sparks,584_Sparks_survival,G_match_E_DataShown,continuous,TRUE,Chordata,Oncorhynchus ,nerka,2,2,survival,proportion,LARVAL,continuous,temperature regime range,Temperature regime,C,Temperature regime,C,584_survival,raw data,yes,no,Table,,Table 5 in main text,,
680,Brady,680_Brady_survival,G_match_E_DataShown,continuous,TRUE,Chordata,Rana,sylvatica,12,12,survival,proportion,LARVAL,continuous,high vs low salt content,Specific conductance,microS,Specific conductance,microS,680_suvival,raw data,yes,no,Table,,StudyID_680_442_2017_3912_MOESM1_ESM (excel file),"680_developmental stage is described as ""mean Gosner stage"", seems like it is based on morphology so I assumed it is unitless",
680,Brady,680_Brady_developmental_stage_gos,G_match_E_DataShown,continuous,TRUE,Chordata,Rana,sylvatica,12,12,developmental_stage_gos,unitless,LARVAL,continuous,high vs low salt content,Specific conductance,microS,Specific conductance,microS,680_developmental_stage_gos,raw data,no,no,Table,,StudyID_680_442_2017_3912_MOESM2_ESM (excel file),,
680,Brady,680_Brady_snout_to_vent,G_match_E_DataShown,continuous,FALSE,Chordata,Rana,sylvatica,12,12,snout_to_vent,mm,LARVAL,continuous,high vs low salt content,Specific conductance,microS,Specific conductance,microS,680_snout_to_vent,raw data,no,no,Table,,StudyID_680_442_2017_3912_MOESM2_ESM (excel file),,
630,Cenzer,630_Cenzer_female_beak_length,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,female_beak_length,mm,JUVENILE,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_female_beak_length,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)","630_from methods: ""For this experiment, I used the second laboratory generation (F2) of juveniles descended from adults collected in the field in April 2014. Collection of adults and seeds were from the same locations as above in experiment 1 (fig. 1). The first laboratory generation (F1) was reared in the lab for experiments reported in Cenzer 2016. F2 individuals were reared in a split-brood cross-rearing design, with full siblings from each family randomly assigned to each rearing host (C. corindum or K. elegans)."" - would this be considered ""artificially selected genotypes""?",
630,Cenzer,630_Cenzer_female_torax_width,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,female_torax_width,mm,JUVENILE,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_female_thorax_width,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",630_cells U49 to U55 are messed up - not linking cells from column A and K properly. I don't have admin rights to fix it.,
630,Cenzer,630_Cenzer_female_wing_length,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,female_wing_length,mm,ADULT,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_female_wing_length,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
630,Cenzer,630_Cenzer_female_development_time,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,female_development_time,d,JUVENILE,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_female_development_time,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
630,Cenzer,630_Cenzer_male_beak_length,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,male_beak_length,mm,ADULT,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_male_beak_length,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
630,Cenzer,630_Cenzer_male_torax_width,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,male_torax_width,mm,ADULT,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_male_thorax_width,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
630,Cenzer,630_Cenzer_male_wing_length,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,male_wing_length,mm,ADULT,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_male_wing_length,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
630,Cenzer,630_Cenzer_male_development_time,G_match_E_DataShown,categorical,NA,Arthropoda,Jadera ,haematoloma,8,8,male_development_time,d,JUVENILE,categorical,large inflated vs open flat seedpod,Seedpod characteristics,NA,Host plant,NA,630_male_development_time,raw data,no,yes,Table,,"StudyID_630_tableS3_Experiment3data(morph,dvpt) (excel file)",,
654,Gordon,654_Gordon_first_litter_size,G_match_E_DataShown,categorical,TRUE,Chordata,Poecilia ,reticulata,4,4,first_litter_size,count,JUVENILE,categorical,low vs high food supply,Food supply,NA,River and predation level,NA,654_first_litter_size,raw data,no,no,Table,,StudyID_654_GordonSupp1 (excel file),"654_GxE sig = TRUE only for some combinations, see table I in main text",MA 10/7
654,Gordon,654_Gordon_second_litter_size,G_match_E_DataShown,categorical,FALSE,Chordata,Poecilia ,reticulata,4,4,second_litter_size,count,JUVENILE,categorical,low vs high food supply,Food supply,NA,River and predation level,NA,654_second_litter_size,raw data,no,no,Table,,StudyID_654_GordonSupp1 (excel file),High predation = high food (high predation reduces pop size allowing for more food for survivors),MA 10/7
654,Gordon,654_Gordon_third_litter_size,G_match_E_DataShown,categorical,FALSE,Chordata,Poecilia ,reticulata,4,4,third_litter_size,count,JUVENILE,categorical,low vs high food supply,Food supply,NA,River and predation level,NA,654_third_litter_size,raw data,no,no,Table,,StudyID_654_GordonSupp2 (excel file),Low predation = low food (high competition for fewer resources),MA 10/7
654,Gordon,654_Gordon_third_litter_weight,G_match_E_DataShown,categorical,TRUE,Chordata,Poecilia ,reticulata,4,4,third_litter_weight,mg,JUVENILE,categorical,low vs high food supply,Food supply,NA,River and predation level,NA,654_third_litter_weight,raw data,no,no,Table,,StudyID_654_GordonSupp2 (excel file),,MA 10/7
743,Lampei,743_Lampei_Bis_offspring_germination,G_match_E_DataShown,continuous,NA,Spermatophyta,Biscutella ,didyma,4,4,Bis_offspring_germination,proportion,SEEDorEGG,continuous,irrigation regime range,Water availability,mm,Seasonal rainfall,mm,743_Bis_offspring_germination,raw data,yes,no,Table,,StudyID_743_TableS1_germination_knb12231 (excel file),"743_note that this study has 2 species, with 4 and 3 populations respectively, and the same phenotype (germination) was measured for all populations. I labeled the phenotype as ""Bis"" or ""Bro"" to differentiate the species, so ""study_ID_phenotype"" is unique in the ""data_collection"" sheet",MA 10/7
743,Lampei,743_Lampei_Bro_offspring_germination,G_match_E_DataShown,continuous,NA,Spermatophyta,Bromus ,fasciculatus,3,3,Bro_offspring_germination,proportion,SEEDorEGG,continuous,irrigation regime range,Water availability,mm,Seasonal rainfall,mm,743_Bro_offspring_germination,raw data,yes,no,Table,,StudyID_743_TableS1_germination_knb12231 (excel file),743_TableS1 = germination_knb12231,MA 10/7
815,Calixto-Botia,815_Calixto-Botia_variation_main_branch,G_match_E_DataShown,continuous,NA,Cnidaria,Antillogorgia,bipinnata,4,4,variation_main_branch,mm,ADULT,continuous,water motion and depth,Light availability,lux,Light availability,lux,815_variation_main_branch,raw data,no,no,Table,,StudyID_815_12862_2017_900_MOESM1_ESM (excel file),815_reciprocal transplant,
815,Calixto-Botia,815_Calixto-Botia_variation_secondary_branch,G_match_E_DataShown,continuous,NA,Cnidaria,Antillogorgia,bipinnata,4,4,variation_secondary_branch,mm,ADULT,continuous,water motion and depth,Light availability,lux,Light availability,lux,815_variation_secondary_branch,raw data,no,no,Table,,StudyID_815_12862_2017_900_MOESM1_ESM (excel file),815_very messy supplemental table,
815,Calixto-Botia,815_Calixto-Botia_new_branch_internodal_longitude,G_match_E_DataShown,continuous,NA,Cnidaria,Antillogorgia,bipinnata,4,4,new_branch_internodal_longitude,mm,ADULT,continuous,water motion and depth,Light availability,lux,Light availability,lux,815_new_branch_internodal_longitude,raw data,no,no,Table,,StudyID_815_12862_2017_900_MOESM1_ESM (excel file),,
815,Calixto-Botia,815_Calixto-Botia_new_branch_number,G_match_E_DataShown,continuous,NA,Cnidaria,Antillogorgia,bipinnata,4,4,new_branch_number,count,ADULT,continuous,water motion and depth,Light availability,lux,Light availability,lux,815_new_branch_number,raw data,no,no,Table,,StudyID_815_12862_2017_900_MOESM1_ESM (excel file),,
950,Johansson,950_Johansson_size_at_reproduction,G_match_E_DataShown,continuous,FALSE,Mollusca,Radix ,balthica,5,5,size_at_reproduction,mm,ADULT,continuous,temperature range,Temperature,C,Temperature regime,C,950_size_at_reproduction,raw data,no,yes,Table,,StudyID_950_TableS1_Divergence of gastropod life history (excel file),950_original supplmental material file ID is Divergence of gastropod life history and I renamed studyID_950_TableS1_Divergence of gastropod life history,
950,Johansson,950_Johansson_age_at_reproduction,G_match_E_DataShown,continuous,FALSE,Mollusca,Radix ,balthica,5,5,age_at_reproduction,d,ADULT,continuous,temperature range,Temperature,C,Temperature regime,C,950_age_at_reproduction,raw data,no,yes,Table,,StudyID_950_TableS1_Divergence of gastropod life history (excel file),950_there's also a reciprocal transplant experiment described in this paper but no data available ,
950,Johansson,950_Johansson_total_eggs,G_match_E_DataShown,continuous,FALSE,Mollusca,Radix ,balthica,5,5,total_eggs,count,SEEDorEGG,continuous,temperature range,Temperature,C,Temperature regime,C,950_total_eggs,raw data,no,yes,Table,,StudyID_950_TableS1_Divergence of gastropod life history (excel file),,
950,Johansson,950_Johansson_hatched_eggs,G_match_E_DataShown,continuous,FALSE,Mollusca,Radix ,balthica,5,5,hatched_eggs,count,SEEDorEGG,continuous,temperature range,Temperature,C,Temperature regime,C,950_hatched_eggs,raw data,no,yes,Table,,StudyID_950_TableS1_Divergence of gastropod life history (excel file),,
950,Johansson,950_Johansson_unhatched_eggs,G_match_E_DataShown,continuous,NA,Mollusca,Radix ,balthica,5,5,unhatched_eggs,count,SEEDorEGG,continuous,temperature range,Temperature,C,Temperature regime,C,950_unhatched_eggs,raw data,no,yes,Table,,StudyID_950_TableS1_Divergence of gastropod life history (excel file),,
950,Johansson,950_Johansson_survival,G_match_E_DataShown,continuous,NA,Mollusca,Radix ,balthica,5,5,survival,proportion,ADULT,continuous,temperature range,Temperature,C,Temperature regime,C,950_survival,no,,,,,,,
950,Johansson,950_Johansson_growth_rate,G_match_E_DataShown,continuous,NA,Mollusca,Radix ,balthica,5,5,growth_rate,mm day,ADULT,continuous,temperature range,Temperature,C,Temperature regime,C,950_growth_rate,no,,,,,,,
982,Mariette,982_Mariette_latent_period,G_match_E_DataShown,continuous,NA,Oomycota,Phytophthora ,infestans,3,3,latent_period,d,DIPLOID,continuous,temperature range,Temperature,C,Temperature,C,982_latent_period,mean_SE,no,no,Table,,Table 1 in main text,,
982,Mariette,982_Mariette_lesion_growth_rate,G_match_E_DataShown,continuous,FALSE,Oomycota,Phytophthora ,infestans,3,3,lesion_growth_rate,sq mm per day,DIPLOID,continuous,temperature range,Temperature,C,Temperature,C,982_lesion_growth_rate,mean_SE,no,no,Table,,Table 1 in main text,,
982,Mariette,982_Mariette_sporangia_production,G_match_E_DataShown,continuous,TRUE,Oomycota,Phytophthora ,infestans,3,3,sporangia_production,count per lesion,DIPLOID,continuous,temperature range,Temperature,C,Temperature,C,982_sporangia_production,mean_SE,no,no,Table,,Table 1 in main text,,
982,Mariette,982_Mariette_fitness_index,G_match_E_DataShown,continuous,TRUE,Oomycota,Phytophthora ,infestans,3,3,fitness_index,unitless,DIPLOID,continuous,temperature range,Temperature,C,Temperature,C,982_fitness_index,mean_SE,no,no,Table,,Table 1 in main text,,
1019,Viger,1019_Viger_height_growth,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,height_growth,mm,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_height_growth,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),1019_5DAD and 15DAD mean stomatal conductance was measured at 5 and 15 days after drought.,
1019,Viger,1019_Viger_stem_diameter_growth,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,stem_diameter_growth,mm,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_stem_diameter_growth,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),"1019_""juvenile"" = tree cuttings ",
1019,Viger,1019_Viger_leaves_developed,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,leaves_developed,count,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_leaves_developed,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1019,Viger,1019_Viger_leaves_fallen,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,leaves_fallen,count,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_leaves_fallen,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
1019,Viger,1019_Viger_branches_developed,G_match_E_DataShown,continuous,FALSE,Tracheophyta,Populus,nigra,6,6,branches_developed,count,JUVENILE,categorical,well watered vs drought,water availability,NA,Average annual precipitation,mm,1019_branches_developed,mean_SE,no,no,Table,,Table S2 and S5 in tpw017supp_Table_S1S2S3S5 (word file),,
