"","row","n_pop","sample_size","std_dev","n_env","delta_env","delta_gen","interaction","replicate","env_scenario","seed","total_samples"
"24",24,2,2,0.5,2,0.0812320832628757,-0.944595373235643,0.811857501044869,1,1,99804045,8
"25",25,2,2,0.5,2,0.430278853978962,-0.656292267609388,1.89030632469803,1,1,65494577,8
"26",26,2,2,0.5,2,0.505153410602361,0.103815490845591,1.6289971396327,1,1,77785018,8
"27",27,2,2,0.5,2,0.915227017598227,0.941373564768583,0.0763108190149069,1,1,23432701,8
"28",28,2,2,0.5,2,0.78243269585073,-0.752385309431702,0.798627941869199,1,1,7325809,8
"29",29,2,2,0.5,2,0.402334443992004,-0.828863235656172,0.721210385207087,1,1,69124334,8
"30",30,2,2,0.5,2,0.25152598018758,-0.691648818552494,1.84722513100132,1,1,41556413,8
"31",31,2,2,0.5,2,0.302032493054867,-0.521488985512406,0.832239703740925,1,1,35463148,8
"32",32,2,2,0.5,2,0.729704831028357,-0.595866529736668,1.63584977854043,1,1,72130549,8
"33",33,2,2,0.5,2,0.732909056358039,-0.224956688005477,1.12563145812601,1,1,80100901,8
"34",34,2,2,0.5,2,0.158455526921898,0.368657577782869,0.37928812764585,1,1,8459129,8
"35",35,2,2,0.5,2,0.460029872367159,-0.265807991847396,0.121700605843216,1,1,20069927,8
"36",36,2,2,0.5,2,0.3382585758809,0.740058458875865,1.93388445535675,1,1,23775097,8
"37",37,2,2,0.5,2,0.864303151378408,0.8090596543625,0.541264999657869,1,1,16235611,8
"38",38,2,2,0.5,2,0.118761377409101,-0.700416730251163,1.55898142792284,1,1,21253269,8
"39",39,2,2,0.5,2,0.688912795390934,0.449746701866388,1.74457312421873,1,1,76838330,8
"40",40,2,2,0.5,2,0.769960151752457,0.620719676837325,0.94862453546375,1,1,34501286,8
"41",41,2,2,0.5,2,0.256522635696456,0.938407506793737,1.89732587290928,1,1,80785438,8
"42",42,2,2,0.5,2,0.972871157573536,0.0318504902534187,1.95009207399562,1,1,6644106,8
"43",43,2,2,0.5,2,0.0827413257211447,0.301892241463065,0.999169650487602,1,1,86436383,8
"44",44,2,2,0.5,2,0.24213279527612,0.759049412794411,1.56553880544379,1,1,10662118,8
"45",45,2,2,0.5,2,0.0213182598818094,0.283394935075194,0.160107732284814,1,1,88333816,8
"46",46,2,2,0.5,2,0.585048930952325,0.63231855025515,1.70839279610664,1,1,45745023,8
"47",47,2,2,0.5,2,0.0989522282034159,0.505807944573462,1.49674057355151,1,1,63218354,8
"48",48,2,2,0.5,2,0.0939482911489904,0.589862056542188,0.615470248274505,1,1,67823883,8
"49",49,2,2,0.5,2,0.905645172344521,0.0905854934826493,0.982791445218027,1,1,36058250,8
"50",50,2,2,0.5,2,0.272100905189291,-0.669724254403263,0.785128915682435,1,1,19421567,8
"51",51,4,2,0.5,4,0.509449979523197,-0.888497798703611,3.92169445008039,1,1,88761124,32
"52",52,4,2,0.5,4,0.907088305801153,-0.294055794831365,1.01903111023596,1,1,34247419,32
"53",53,4,2,0.5,4,0.110125865088776,-0.129007724579424,0.735134878552053,1,1,39997462,32
"54",54,4,2,0.5,4,0.665164818288758,0.802617184817791,1.16999281090451,1,1,27492244,32
"55",55,4,2,0.5,4,0.282956342445686,-0.261098900344223,0.784097447672393,1,1,22316005,32
"56",56,4,2,0.5,4,0.162354262080044,-0.988604926969856,1.86018259072676,1,1,16314482,32
"57",57,4,2,0.5,4,0.227016817778349,0.486133503727615,1.66515007332666,1,1,84479947,32
"58",58,4,2,0.5,4,0.445293839788064,0.805774547159672,1.89934748820029,1,1,23477458,32
"59",59,4,2,0.5,4,0.705088462447748,-0.306085253600031,0.819684692197479,1,1,38836743,32
"60",60,4,2,0.5,4,0.264800236094743,0.737504191696644,3.63507573027164,1,1,53252798,32
"61",61,4,2,0.5,4,0.655988668091595,0.654733320232481,1.61728738256963,1,1,86887474,32
"62",62,4,2,0.5,4,0.847148839849979,-0.0351074859499931,1.88136872850358,1,1,2591798,32
"63",63,4,2,0.5,4,0.725433212937787,0.986335469409823,1.65993040628731,1,1,20486549,32
"64",64,4,2,0.5,4,0.541155708022416,-0.166905345395207,0.159660835764371,1,1,89439348,32
"65",65,4,2,0.5,4,0.706715440144762,0.717647540848702,3.51006708247587,1,1,80132755,32
"66",66,4,2,0.5,4,0.348091634688899,-0.865226524882019,0.164367660377175,1,1,5835396,32
"67",67,4,2,0.5,4,0.0744244297966361,0.432638024445623,0.643475177225191,1,1,70298989,32
"68",68,4,2,0.5,4,0.594217980047688,-0.888096757233143,1.75161791176302,1,1,13209110,32
"69",69,4,2,0.5,4,0.422638178337365,-0.021834067068994,0.928164324075915,1,1,77998800,32
"70",70,4,2,0.5,4,0.673891835380346,-0.83855143468827,0.188714573276229,1,1,18486053,32
"71",71,4,2,0.5,4,0.616661351872608,-0.833962120581418,3.08903246186674,1,1,77241877,32
"72",72,4,2,0.5,4,0.966337894322351,-0.47269677836448,0.057971123540774,1,1,49274528,32
"73",73,4,2,0.5,4,0.626727738883346,-0.0602559032849967,3.25732036540285,1,1,25898047,32
"74",74,4,2,0.5,4,0.49958724481985,0.46209000935778,0.620950893952977,1,1,16469715,32
"75",75,4,2,0.5,4,0.367563650710508,-0.528903920669109,0.143394816548098,1,1,27101549,32
"76",76,4,2,0.5,4,0.693793398328125,-0.271327598486096,0.193480625280645,1,1,79490148,32
"77",77,4,2,0.5,4,0.61195356096141,0.444298171903938,1.51860276512336,1,1,79336152,32
"78",78,4,2,0.5,4,0.561795874964446,0.759098164737225,3.36164389038458,1,1,71691330,32
"79",79,4,2,0.5,4,0.110904346918687,0.055409159976989,0.105102460794151,1,1,89100941,32
"80",80,4,2,0.5,4,0.940201847115532,0.867569767870009,3.58898345567286,1,1,96393866,32
"81",81,4,2,0.5,4,0.549263177672401,-0.186233514454216,1.67414422457805,1,1,81601551,32
"82",82,4,2,0.5,4,0.189988213358447,-0.728967829607427,0.0711922801099718,1,1,48964402,32
"83",83,4,2,0.5,4,0.286246269010007,0.840736266225576,1.57425775612937,1,1,73183712,32
"84",84,4,2,0.5,4,0.484038445400074,-0.684514494612813,1.37657607912784,1,1,64999879,32
"85",85,4,2,0.5,4,0.0671676967758685,-0.0588299743831158,1.93575807635905,1,1,52445620,32
"86",86,4,2,0.5,4,0.0460523930378258,0.148929328192025,2.40707480348647,1,1,81870421,32
"87",87,4,2,0.5,4,0.183029649313539,-0.493168959394097,0.0819778443919495,1,1,79638594,32
"88",88,4,2,0.5,4,0.117792131146416,0.920959908049554,3.82175522251055,1,1,74700148,32
"89",89,4,2,0.5,4,0.0905688751954585,0.661793653853238,1.21305159581592,1,1,93145644,32
"90",90,4,2,0.5,4,0.381157375406474,-0.113824896980077,3.9444519369863,1,1,57104086,32
"91",91,4,2,0.5,4,0.0509828862268478,0.779158586170524,3.5655202018097,1,1,49455792,32
"92",92,4,2,0.5,4,0.33403966599144,0.77250510873273,2.9940828261897,1,1,2509882,32
"93",93,4,2,0.5,4,0.636831841897219,-0.569222428835928,2.74108058121055,1,1,7439774,32
"94",94,4,2,0.5,4,0.0332269666250795,0.74677857523784,0.514160425392911,1,1,12070352,32
"95",95,4,2,0.5,4,0.986159445950761,0.665676274802536,2.30708653014153,1,1,8886365,32
"96",96,4,2,0.5,4,0.979117604438215,0.183477431535721,1.86847779398318,1,1,44414701,32
"97",97,4,2,0.5,4,0.711623865878209,0.910733383148909,2.12143945507705,1,1,46502946,32
"98",98,4,2,0.5,4,0.729811003664508,0.905538043938577,1.95169099391205,1,1,66283278,32
"99",99,4,2,0.5,4,0.637218409683555,-0.497183333151042,0.108504205206409,1,1,90364170,32
"100",100,4,2,0.5,4,0.0665381567087024,-0.529245616402477,0.800990791018121,1,1,48034900,32
"101",101,8,2,0.5,8,0.091685833176598,0.0783233898691833,1.53756674170727,1,1,22694600,128
"102",102,8,2,0.5,8,0.563721043523401,-0.7782859262079,5.67178834695369,1,1,71103940,128
"103",103,8,2,0.5,8,0.960777164669707,-0.841212091036141,0.836928193420172,1,1,58473600,128
"104",104,8,2,0.5,8,0.229314032010734,0.0791709059849381,1.38125493001193,1,1,29265926,128
"105",105,8,2,0.5,8,0.745190537301823,-0.0584215987473726,1.91936951298267,1,1,86498278,128
"106",106,8,2,0.5,8,0.970209984574467,0.144343810621649,0.592280486179516,1,1,55628630,128
"107",107,8,2,0.5,8,0.365555521799251,-0.565026035532355,5.57107641082257,1,1,22058564,128
"108",108,8,2,0.5,8,0.0500968683045357,-0.146457257680595,1.59810707628028,1,1,78392055,128
"109",109,8,2,0.5,8,0.165796745102853,-0.974448480177671,0.681214624296408,1,1,13500731,128
"110",110,8,2,0.5,8,0.64712522062473,0.690411800052971,0.510410419062246,1,1,73160064,128
"111",111,8,2,0.5,8,0.179817196447402,-0.733932757750154,4.85047416063026,1,1,83713462,128
"112",112,8,2,0.5,8,0.372965361224487,-0.761481795459986,1.42440337958513,1,1,99550970,128
"113",113,8,2,0.5,8,0.702251475071535,0.601784758735448,1.01363119091373,1,1,90289779,128
"114",114,8,2,0.5,8,0.870904098730534,-0.457013009581715,0.644384779559914,1,1,2173726,128
"115",115,8,2,0.5,8,0.416516583878547,0.0168843362480402,2.2946238797158,1,1,58432556,128
"116",116,8,2,0.5,8,0.740469176787883,0.836580649018288,0.212694567691069,1,1,75309878,128
"117",117,8,2,0.5,8,0.46386400423944,0.0257627326063812,1.43697587368777,1,1,52201801,128
"118",118,8,2,0.5,8,0.321682670386508,-0.430687368381768,1.14296233685687,1,1,99284520,128
"119",119,8,2,0.5,8,0.524086964782327,0.894165731035173,5.1933432915248,1,1,93915391,128
"120",120,8,2,0.5,8,0.851316183106974,0.611304457765073,4.20517927594483,1,1,30445779,128
"121",121,8,2,0.5,8,0.904772037640214,0.263204186689109,2.05335868988186,1,1,32173164,128
"122",122,8,2,0.5,8,0.539961744565517,0.550112024415284,0.934329351172782,1,1,61884320,128
"123",123,8,2,0.5,8,0.775188904255629,-0.181850893888623,1.82225691530388,1,1,40063831,128
"124",124,8,2,0.5,8,0.607702641282231,0.620741578284651,0.388832673784345,1,1,58618412,128
"125",125,8,2,0.5,8,0.960665362887084,-0.506759068928659,0.0638442355697043,1,1,73747259,128
"126",126,8,2,0.5,8,0.642690152628347,-0.223398682661355,0.831274566394277,1,1,19112941,128
"127",127,8,2,0.5,8,0.474372372496873,-0.185925541445613,2.42194100469351,1,1,87181163,128
"128",128,8,2,0.5,8,0.475882737897336,0.645026878453791,3.0093124541454,1,1,96267380,128
"129",129,8,2,0.5,8,0.655345011735335,-0.665621190797538,1.84067453334341,1,1,83357162,128
"130",130,8,2,0.5,8,0.478419293649495,-0.65664922259748,5.71416492480785,1,1,75255029,128
"131",131,8,2,0.5,8,0.115766298724338,0.354103313293308,0.469845630950294,1,1,96442968,128
"132",132,8,2,0.5,8,0.584379537031054,0.241876650135964,1.21292606454808,1,1,14314170,128
"133",133,8,2,0.5,8,0.100578072480857,0.787869054824114,5.14735488314182,1,1,91194871,128
"134",134,8,2,0.5,8,0.696451273746789,0.309400335419923,0.212516884126235,1,1,4666421,128
"135",135,8,2,0.5,8,0.630055696005002,0.873102555982769,0.588097287605051,1,1,46505565,128
"136",136,8,2,0.5,8,0.468341574538499,0.336409695446491,0.281828956683166,1,1,77856290,128
"137",137,8,2,0.5,8,0.596998907160014,0.216027004644275,4.97500830795616,1,1,5711156,128
"138",138,8,2,0.5,8,0.0334422439336777,0.262214378453791,0.628921161789913,1,1,33805098,128
"139",139,8,2,0.5,8,0.380145812639967,0.877510159742087,3.50126586016268,1,1,6780530,128
"140",140,8,2,0.5,8,0.781474959338084,0.244775712955743,0.369962691708934,1,1,35037911,128
"141",141,8,2,0.5,8,0.214460021117702,0.193553733639419,0.0257568133831955,1,1,77082513,128
"142",142,8,2,0.5,8,0.170460950117558,0.890987649559975,3.17594783520326,1,1,67928216,128
"143",143,8,2,0.5,8,0.0763499767053872,-0.0516559844836593,6.17448702314869,1,1,81428527,128
"144",144,8,2,0.5,8,0.232711121672764,0.562146372627467,0.842484066917095,1,1,80810833,128
"145",145,8,2,0.5,8,0.103177988436073,-0.657428544946015,1.39349757736549,1,1,20456060,128
"146",146,8,2,0.5,8,0.602995177032426,-0.552419127430767,1.78191440609284,1,1,76743290,128
"147",147,8,2,0.5,8,0.9939754686784,0.0812799762934446,1.70481260293163,1,1,92301385,128
"148",148,8,2,0.5,8,0.939349915832281,-0.22002543322742,1.77053525156574,1,1,48421734,128
"149",149,8,2,0.5,8,0.491569647565484,-0.763863113708794,1.2406496916851,1,1,94521742,128
"150",150,8,2,0.5,8,0.591453751549125,0.212644493207335,0.404864245585632,1,1,1700919,128
"151",201,2,4,0.5,2,0.308946735225618,-0.649553459137678,0.519823819864541,1,1,77520769,16
"152",202,2,4,0.5,2,0.769007582915947,0.590090197045356,1.82073461497203,1,1,45512158,16
"153",203,2,4,0.5,2,0.516107280505821,-0.113532676361501,1.58018524339423,1,1,67270900,16
"154",204,2,4,0.5,2,0.93859951174818,0.700366165488958,1.80246556410566,1,1,67166511,16
"155",205,2,4,0.5,2,0.673208830412477,0.56865830020979,0.526705077383667,1,1,20481835,16
"156",206,2,4,0.5,2,0.0991557163652033,0.819059231784195,0.292802703101188,1,1,93085649,16
"157",207,2,4,0.5,2,0.320673800539225,-0.116747132968158,1.38251442601904,1,1,31691263,16
"158",208,2,4,0.5,2,0.521665417589247,0.855734698008746,1.74075049767271,1,1,12267452,16
"159",209,2,4,0.5,2,0.790445981547236,-0.215819912962615,1.78302012756467,1,1,32228995,16
"160",210,2,4,0.5,2,0.0716319212224334,-0.0148187698796391,1.49791606189683,1,1,92386873,16
"161",211,2,4,0.5,2,0.289826852735132,-0.785148501396179,1.44752015965059,1,1,49252863,16
"162",212,2,4,0.5,2,0.708612196147442,-0.357631181366742,0.84840763406828,1,1,64659769,16
"163",213,2,4,0.5,2,0.302776801399887,-0.203559638466686,1.64959951583296,1,1,44910199,16
"164",214,2,4,0.5,2,0.239633966237307,0.28374115889892,1.87179854745045,1,1,82233313,16
"165",215,2,4,0.5,2,0.476019611349329,0.613465430680662,1.41255391342565,1,1,13017682,16
"166",216,2,4,0.5,2,0.679577530594543,0.117735705338418,1.70016595488414,1,1,5962507,16
"167",217,2,4,0.5,2,0.424470365978777,0.999677091371268,0.606544726528227,1,1,83564380,16
"168",218,2,4,0.5,2,0.951909884577617,-0.0206705103628337,1.64276307402179,1,1,91539725,16
"169",219,2,4,0.5,2,0.433220905950293,-0.768107200507075,1.17973782215267,1,1,39731108,16
"170",220,2,4,0.5,2,0.306973883416504,-0.525701797567308,1.74594010971487,1,1,30836131,16
"171",221,2,4,0.5,2,0.462915315758437,0.664723576512188,0.322079297620803,1,1,72931031,16
"172",222,2,4,0.5,2,0.306615534471348,-0.270619413815439,0.453511433210224,1,1,66678104,16
"173",223,2,4,0.5,2,0.744503311580047,0.692935514263809,1.12936869915575,1,1,40289801,16
"174",224,2,4,0.5,2,0.761635974282399,0.866389208007604,0.0418574707582593,1,1,41699178,16
"175",225,2,4,0.5,2,0.200963954906911,-0.759126248303801,1.68736342806369,1,1,92828159,16
"176",226,2,4,0.5,2,0.542312981560826,0.961340650450438,1.05758519237861,1,1,36191167,16
"177",227,2,4,0.5,2,0.716240501962602,-0.384704012423754,1.49943400593475,1,1,6768955,16
"178",228,2,4,0.5,2,0.537693930789828,0.729038236662745,0.395738037768751,1,1,54398681,16
"179",229,2,4,0.5,2,0.616957674268633,-0.940447154454887,1.69266003323719,1,1,67080131,16
"180",230,2,4,0.5,2,0.935148816555738,0.0941103650256991,0.908569798339158,1,1,17319858,16
"181",231,2,4,0.5,2,0.368395306402817,-0.871840242296457,0.838425559457392,1,1,75444049,16
"182",232,2,4,0.5,2,0.624895257409662,-0.102180018089712,1.9063019505702,1,1,49696029,16
"183",233,2,4,0.5,2,0.75007673795335,-0.390094962436706,1.0341320396401,1,1,21238984,16
"184",234,2,4,0.5,2,0.178601748077199,-0.0915321274660528,0.640565567649901,1,1,25546212,16
"185",235,2,4,0.5,2,0.300422701751813,-0.850181422196329,1.7627845951356,1,1,81895767,16
"186",236,2,4,0.5,2,0.380598882678896,0.795047835912555,1.66978514473885,1,1,83601567,16
"187",237,2,4,0.5,2,0.614975885488093,-0.283086344134063,0.739801584277302,1,1,91484263,16
"188",238,2,4,0.5,2,0.2715449759271,0.130764408502728,1.45845907879993,1,1,51861876,16
"189",239,2,4,0.5,2,0.695703013101593,0.16253264201805,0.518537514377385,1,1,25057969,16
"190",240,2,4,0.5,2,0.245471725007519,0.0854358589276671,1.8459074255079,1,1,9667655,16
"191",241,2,4,0.5,2,0.517173635773361,-0.852490230929106,1.77868782123551,1,1,50827309,16
"192",242,2,4,0.5,2,0.864899030188099,-0.824803983327001,1.12507240986452,1,1,21480441,16
"193",243,2,4,0.5,2,0.479151394683868,-0.947930445428938,1.93526066979393,1,1,77301642,16
"194",244,2,4,0.5,2,0.185461233137175,-0.211024624761194,1.35789856081828,1,1,63461072,16
"195",245,2,4,0.5,2,0.997695886064321,0.0307968640699983,1.56064291950315,1,1,73034178,16
"196",246,2,4,0.5,2,0.49590648105368,-0.731855236925185,0.492136038839817,1,1,87812528,16
"197",247,2,4,0.5,2,0.465004161698744,-0.536088858731091,1.57291880343109,1,1,48883126,16
"198",248,2,4,0.5,2,0.090155191719532,-0.541311408393085,0.36390325287357,1,1,43405559,16
"199",249,2,4,0.5,2,0.797542797867209,-0.986760612111539,1.35962825268507,1,1,1520289,16
"200",250,2,4,0.5,2,0.591240980196744,-0.503183876629919,1.80875280406326,1,1,82644208,16
"201",251,4,4,0.5,4,0.266588154481724,-0.703185200691223,1.87097894742386,1,1,97576679,64
"202",252,4,4,0.5,4,0.102880756370723,-0.749894220381975,2.67936292244121,1,1,24515125,64
"203",253,4,4,0.5,4,0.606059110956267,-0.236490877345204,1.70056639199844,1,1,27518829,64
"204",254,4,4,0.5,4,0.161739505128935,-0.11338237253949,1.62253472541459,1,1,43918746,64
"205",255,4,4,0.5,4,0.318366592517123,-0.799807256087661,3.1776580568403,1,1,67515605,64
"206",256,4,4,0.5,4,0.686240142444149,0.895445939619094,1.82189454118954,1,1,79359154,64
"207",257,4,4,0.5,4,0.243569088168442,0.192842589691281,1.79930431451416,1,1,23617087,64
"208",258,4,4,0.5,4,0.52705316641368,-0.710426663514227,3.08679568208754,1,1,11088389,64
"209",259,4,4,0.5,4,0.618925243150443,-0.671000217553228,3.30896296771243,1,1,24422599,64
"210",260,4,4,0.5,4,0.973659262992442,0.084855689201504,0.805843654016498,1,1,77276859,64
"211",261,4,4,0.5,4,0.148690596688539,0.131668986286968,2.55377759551629,1,1,47655326,64
"212",262,4,4,0.5,4,0.848435740219429,-0.182521403767169,0.0913714072061703,1,1,36884115,64
"213",263,4,4,0.5,4,0.682057100115344,0.392988484352827,2.55806452408433,1,1,63519154,64
"214",264,4,4,0.5,4,0.302431766176596,-0.429014741443098,3.40381633955985,1,1,1454316,64
"215",265,4,4,0.5,4,0.264899724163115,-0.46440939931199,0.55887563590426,1,1,60472655,64
"216",266,4,4,0.5,4,0.294733898714185,0.89879987295717,0.401186895426363,1,1,44566846,64
"217",267,4,4,0.5,4,0.00921577448025346,0.06418118160218,1.60887918768916,1,1,33992655,64
"218",268,4,4,0.5,4,0.563530011801049,-0.387550453655422,3.65981825534254,1,1,23073383,64
"219",269,4,4,0.5,4,0.106635056901723,-0.737440708093345,0.490678506055847,1,1,85338674,64
"220",270,4,4,0.5,4,0.678571745986119,-0.657012370415032,0.126724934065714,1,1,86731683,64
"221",271,4,4,0.5,4,0.247975786682218,-0.458962988574058,2.15356597071514,1,1,94016762,64
"222",272,4,4,0.5,4,0.500370939960703,0.599635624326766,0.256893518231809,1,1,73655454,64
"223",273,4,4,0.5,4,0.185687330318615,0.941523111891001,0.339078439106233,1,1,77491979,64
"224",274,4,4,0.5,4,0.105570957064629,0.603011325467378,3.22050994634628,1,1,11509736,64
"225",275,4,4,0.5,4,0.83939392468892,-0.28812809754163,0.290202688393183,1,1,35912943,64
"226",276,4,4,0.5,4,0.00468330597504973,-0.975671038497239,0.377745243895333,1,1,51056389,64
"227",277,4,4,0.5,4,0.989654025761411,-0.814062130637467,1.15588394402061,1,1,81257095,64
"228",278,4,4,0.5,4,0.703555288026109,-0.964268013369292,1.03234780282248,1,1,53340983,64
"229",279,4,4,0.5,4,0.542719889199361,0.767924129962921,1.24103828303283,1,1,82851184,64
"230",280,4,4,0.5,4,0.20478516863659,0.989568496588618,0.692702865013853,1,1,16504484,64
"231",281,4,4,0.5,4,0.105902105569839,0.104225884191692,2.9172705640085,1,1,84796655,64
"232",282,4,4,0.5,4,0.77089119865559,0.609678659588099,3.33615142200142,1,1,91971394,64
"233",283,4,4,0.5,4,0.0404740131925792,0.0286432900466025,1.13885246350663,1,1,80834828,64
"234",284,4,4,0.5,4,0.568848997820169,-0.366713121533394,0.430563533399254,1,1,26769253,64
"235",285,4,4,0.5,4,0.624521065736189,-0.969209684524685,1.01575621527387,1,1,1334895,64
"236",286,4,4,0.5,4,0.720064963679761,0.158656933344901,0.116992586345878,1,1,71636986,64
"237",287,4,4,0.5,4,0.479492348618805,0.656127701047808,0.460487882848829,1,1,75176025,64
"238",288,4,4,0.5,4,0.36780267348513,0.652451409958303,1.9360817876528,1,1,70446,64
"239",289,4,4,0.5,4,0.778340384131297,0.446718533523381,0.246607471383177,1,1,78572043,64
"240",290,4,4,0.5,4,0.843318295665085,0.981925109867007,2.85492303827778,1,1,39582504,64
"241",291,4,4,0.5,4,0.666130428435281,0.121272619348019,1.21004358528415,1,1,58475546,64
"242",292,4,4,0.5,4,0.379908346105367,-0.517224041279405,3.15393585246056,1,1,58440874,64
"243",293,4,4,0.5,4,0.282992492429912,-0.656605062540621,0.559141165548936,1,1,20067517,64
"244",294,4,4,0.5,4,0.201472843065858,0.708941253833473,1.48245777888922,1,1,6752108,64
"245",295,4,4,0.5,4,0.7355460554827,-0.839668025728315,0.134188972164411,1,1,59822663,64
"246",296,4,4,0.5,4,0.643113747006282,0.96069561643526,1.96180675986689,1,1,24604157,64
"247",297,4,4,0.5,4,0.0687459346372634,-0.514217906631529,3.94890521140769,1,1,9210730,64
"248",298,4,4,0.5,4,0.609615905908868,0.981807074975222,1.65988969368162,1,1,30174771,64
"249",299,4,4,0.5,4,0.339393444126472,-0.336920445784926,0.508573433989659,1,1,68325528,64
"250",300,4,4,0.5,4,0.436439391225576,0.553447578568012,1.4623274995992,1,1,81619504,64
"251",301,8,4,0.5,8,0.107475666794926,0.854562411550432,0.84756960230181,1,1,11455824,256
"252",302,8,4,0.5,8,0.111603477038443,-0.348116036970168,1.03411383539904,1,1,11410067,256
"253",303,8,4,0.5,8,0.976585934869945,-0.940456087701023,7.71825295872986,1,1,74225530,256
"254",304,8,4,0.5,8,0.929750455310568,0.177046024240553,3.1369305816479,1,1,19198375,256
"255",305,8,4,0.5,8,0.629782987060025,-0.520096262916923,1.90688156556571,1,1,83088849,256
"256",306,8,4,0.5,8,0.802934598876163,0.911094129551202,0.575299589117058,1,1,5596247,256
"257",307,8,4,0.5,8,0.282424570526928,0.688792624976486,1.0786091865343,1,1,36288867,256
"258",308,8,4,0.5,8,0.3960914935451,-0.0628924397751689,1.90053862740751,1,1,21886496,256
"259",309,8,4,0.5,8,0.179409161908552,-0.329765819013119,1.89470001515234,1,1,52473685,256
"260",310,8,4,0.5,8,0.923398644663393,0.644940277095884,1.86955928312382,1,1,23371987,256
"261",311,8,4,0.5,8,0.221983806230128,-0.358725817874074,1.6982554464764,1,1,40704772,256
"262",312,8,4,0.5,8,0.141016367590055,0.179502649232745,1.26749709128868,1,1,64587992,256
"263",313,8,4,0.5,8,0.716160538839176,-0.0890815583989024,0.816387615168933,1,1,82783928,256
"264",314,8,4,0.5,8,0.321285243378952,0.967078994959593,0.296900199991651,1,1,38123179,256
"265",315,8,4,0.5,8,0.118848866783082,0.0962151316925883,5.7109448350966,1,1,67237356,256
"266",316,8,4,0.5,8,0.140089748427272,0.72048705862835,0.350775573498104,1,1,1928963,256
"267",317,8,4,0.5,8,0.644308996386826,0.0799677092581987,0.504422855447046,1,1,87273572,256
"268",318,8,4,0.5,8,0.091000264743343,-0.864685226697475,1.6083485412295,1,1,27800247,256
"269",319,8,4,0.5,8,0.538506602169946,0.212919916957617,0.100901574019808,1,1,74869594,256
"270",320,8,4,0.5,8,0.717348734615371,-0.876788015477359,0.447407439579256,1,1,17444579,256
"271",321,8,4,0.5,8,0.550824228674173,0.855096141807735,0.551507930292282,1,1,3040827,256
"272",322,8,4,0.5,8,0.224526718491688,-0.0799402981065214,1.01090886964463,1,1,1490227,256
"273",323,8,4,0.5,8,0.774686276679859,-0.515060928184539,1.98332350472221,1,1,9425582,256
"274",324,8,4,0.5,8,0.852977596689016,-0.138032990507782,5.64067574078217,1,1,70364342,256
"275",325,8,4,0.5,8,0.0470485331024975,-0.363012922927737,1.85128930660198,1,1,45417561,256
"276",326,8,4,0.5,8,0.590717932209373,-0.968802625313401,4.63919086940587,1,1,71895853,256
"277",327,8,4,0.5,8,0.513658089796081,-0.190902097616345,7.42481130454689,1,1,61990967,256
"278",328,8,4,0.5,8,0.722788966726512,0.226699864957482,0.191361220222898,1,1,15790750,256
"279",329,8,4,0.5,8,0.928488799603656,0.514892247039825,0.311909358070698,1,1,59429665,256
